date,cases
1998-01,3
1998-02,4
1998-03,6
1998-04,4
1998-05,5
1998-06,3
1998-07,5
1998-08,9
1998-09,31
1998-10,22
1998-11,103
1998-12,105
1999-01,21
1999-02,2
1999-03,4
1999-04,3
1999-05,311
1999-06,8
1999-07,10
1999-08,6
1999-09,311
1999-10,311
1999-11,3
1999-12,4
2000-01,311
2000-02,311
2000-03,311
2000-04,311
2000-05,311
2000-06,3
2000-07,3
2000-08,39
2000-09,46
2000-10,22
2000-11,7
2000-12,311
2001-01,2
2001-02,2
2001-03,311
2001-04,311
2001-05,311
2001-06,4
2001-07,12
2001-08,11
2001-09,8
2001-10,81
2001-11,93
2001-12,45
2002-01,9
2002-02,3
2002-03,311
2002-04,8
2002-05,7
2002-06,139
2002-07,605
2002-08,963
2002-09,1166
2002-10,1009
2002-11,603
2002-12,208
2003-01,41
2003-02,3
2003-03,2
2003-04,311
2003-05,311
2003-06,4
2003-07,3
2003-08,5
2003-09,14
2003-10,26
2003-11,4
2003-12,2
2004-01,311
2004-02,4
2004-03,2
2004-04,4
2004-05,2
2004-06,3
2004-07,6
2004-08,10
2004-09,12
2004-10,17
2004-11,27
2004-12,14
2005-01,7
2005-02,5
2005-03,311
2005-04,2
2005-05,2
2005-06,5
2005-07,7
2005-08,26
2005-09,24
2005-10,59
2005-11,72
2005-12,29
2006-01,2
2006-02,4
2006-03,5
2006-04,2
2006-05,4
2006-06,9
2006-07,60
2006-08,107
2006-09,163
2006-10,289
2006-11,231
2006-12,108
2007-01,17
2007-02,3
2007-03,5
2007-04,7
2007-05,5
2007-06,49
2007-07,171
2007-08,215
2007-09,197
2007-10,579
2007-11,613
2007-12,183
2008-01,25
2008-02,4
2008-03,11
2008-04,8
2008-05,8
2008-06,21
2008-07,55
2008-08,114
2008-09,60
2008-10,147
2008-11,136
2008-12,27
2009-01,16
2009-02,3
2009-03,5
2009-04,10
2009-05,6
2009-06,12
2009-07,17
2009-08,71
2009-09,41
2009-10,149
2009-11,321
2009-12,197
2010-01,41
2010-02,11
2010-03,10
2010-04,9
2010-05,9
2010-06,18
2010-07,20
2010-08,112
2010-09,363
2010-10,568
2010-11,378
2010-12,171
2011-01,14
2011-02,11
2011-03,311
2011-04,2
2011-05,4
2011-06,11
2011-07,20
2011-08,145
2011-09,149
2011-10,297
2011-11,499
2011-12,249
2012-01,25
2012-02,7
2012-03,10
2012-04,14
2012-05,20
2012-06,19
2012-07,60
2012-08,134
2012-09,409
2012-10,341
2012-11,261
2012-12,94
2013-01,27
2013-02,13
2013-03,12
2013-04,3
2013-05,3
2013-06,18
2013-07,22
2013-08,36
2013-09,15
2013-10,21
2013-11,63
2013-12,41
2014-01,11
2014-02,12
2014-03,11
2014-04,16
2014-05,24
2014-06,105
2014-07,383
2014-08,965
2014-09,2237
2014-10,5413
2014-11,4891
2014-12,1320
2015-01,85
2015-02,26
2015-03,23
2015-04,21
2015-05,34
2015-06,60
2015-07,349
2015-08,4440
2015-09,15057
2015-10,10036
2015-11,9762
2015-12,3096
2016-01,357
2016-02,24
2016-03,12
2016-04,14
2016-05,13
2016-06,14
2016-07,27
2016-08,52
2016-09,15
2016-10,26
2016-11,26
2016-12,19
2017-01,17
2017-02,12
2017-03,9
2017-04,10
2017-05,10
2017-06,15
2017-07,31
2017-08,35
2017-09,23
2017-10,34
2017-11,20
2017-12,16
2018-01,2
2018-02,12
2018-03,5
2018-04,14
2018-05,14
2018-06,24
2018-07,27
2018-08,103
2018-09,86
2018-10,54
2018-11,37
2018-12,30
2019-01,27
2019-02,26
2019-03,17
2019-04,22
2019-05,27
2019-06,57
2019-07,87
2019-08,57
2019-09,43
2019-10,50
2019-11,32
2019-12,25
2020-01,16
2020-02,11
2020-03,7
2020-04,311
2020-05,311
2020-06,4
2020-07,311
2020-08,2
2020-09,34
2020-10,14
2020-11,2
2020-12,2
2021-01,311
2021-02,311
2021-03,311
2021-04,311
2021-05,311
2021-06,311
2021-07,311
2021-08,311
2021-09,2
2021-10,311
2021-11,3
2021-12,311
2022-01,311
2022-02,311
2022-03,311
2022-04,311
2022-05,311
2022-06,4
2022-07,4
2022-08,7
2022-09,22
2022-10,10
2022-11,5
2022-12,5
2023-01,3
2023-02,5
2023-03,7
2023-04,12
2023-05,4
2023-06,189
2023-07,655
2023-08,2856
2023-09,8947
2023-10,7586
2023-11,3943
2023-12,866
2024-01,109
2024-02,49
2024-03,18
2024-04,36
2024-05,13
2024-06,13
2024-07,32
2024-08,19
2024-09,4
2024-10,311
2024-11,311
2024-12,311
